age,gender,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,risk_level
0.8571428571428572,0.0,0.0,0.16666666666666666,0.20370370370370372,0.0,0.6590909090909092,0.7058823529411764,0.0,1.0,1.0,0.0,0.7777777777777777,1.0,1
0.4285714285714284,0.0,0.8313253012048192,0.3888888888888889,0.4259259259259259,0.0,0.9386363636363637,0.20588235294117635,0.5,1.0,0.5,0.0,0.7777777777777777,0.0,2
0.5714285714285716,0.5,0.16867469879518068,0.4305555555555556,0.24074074074074073,0.0,0.8818181818181816,0.7058823529411764,1.0,0.16666666666666666,0.5,1.0,0.0,0.0,0
0.8571428571428572,0.0,0.12048192771084336,0.5416666666666666,0.18518518518518517,0.0,0.34090909090909105,0.8823529411764703,1.0,0.6666666666666666,1.0,0.5,0.0,1.0,0
0.2857142857142856,0.0,0.6024096385542168,0.6111111111111112,0.09259259259259259,0.0,0.7931818181818182,0.25000000000000006,0.0,0.5,1.0,0.5,0.0,0.0,1
1.0,0.5,0.8674698795180722,0.18055555555555558,0.0,0.0,0.6113636363636366,0.6176470588235294,0.0,0.16666666666666666,1.0,0.0,0.3333333333333333,0.0,2
0.5714285714285716,0.0,0.6746987951807227,0.20833333333333334,0.25925925925925924,1.0,0.6772727272727272,0.4852941176470588,0.5,0.3333333333333333,1.0,1.0,0.3333333333333333,0.0,2
0.5714285714285716,0.0,0.5180722891566264,0.1388888888888889,0.37037037037037035,1.0,0.4931818181818184,0.20588235294117635,0.0,0.0,0.0,0.0,0.7777777777777777,0.0,1
0.8571428571428572,0.0,0.5301204819277108,0.3055555555555556,0.31481481481481477,0.0,1.0000000000000002,0.5735294117647058,0.5,0.5,0.0,0.5,0.0,0.0,2
0.1428571428571428,0.0,0.5783132530120481,0.4305555555555556,0.24074074074074073,0.0,0.8954545454545457,0.6323529411764706,0.5,0.8333333333333333,0.0,0.5,1.0,1.0,2
0.2857142857142856,0.0,0.5542168674698794,0.513888888888889,0.14814814814814814,0.0,0.49090909090909074,0.3823529411764705,0.0,0.16666666666666666,0.5,0.5,0.2222222222222222,0.0,1
0.8571428571428572,0.5,0.4698795180722891,0.3333333333333333,0.4629629629629629,0.0,0.3568181818181819,0.6911764705882353,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1
0.2857142857142856,0.0,0.4457831325301205,0.2916666666666667,0.07407407407407407,1.0,0.5704545454545453,0.19117647058823523,0.0,0.16666666666666666,0.0,0.5,0.8888888888888888,0.0,2
0.2857142857142856,0.0,0.4096385542168674,0.37500000000000006,0.5,0.0,0.7568181818181816,0.2205882352941177,0.0,0.6666666666666666,0.0,0.5,1.0,0.0,2
1.0,0.5,0.28915662650602403,0.20833333333333334,0.12962962962962962,0.0,0.7136363636363638,0.5147058823529411,1.0,1.0,0.0,0.0,0.8888888888888888,0.0,2
0.5714285714285716,0.5,0.37349397590361444,0.6944444444444444,0.18518518518518517,0.0,0.9431818181818181,0.4852941176470588,0.5,1.0,0.5,0.0,0.6666666666666665,0.0,1
0.4285714285714284,0.5,0.12048192771084336,0.08333333333333333,0.037037037037037035,0.0,0.8386363636363636,0.35294117647058815,1.0,0.5,0.5,1.0,0.7777777777777777,1.0,1
1.0,0.0,0.4096385542168674,0.37500000000000006,0.2222222222222222,0.0,0.8795454545454546,0.6323529411764706,1.0,0.0,0.5,0.0,0.0,1.0,1
1.0,1.0,0.24096385542168672,0.6805555555555556,0.537037037037037,1.0,0.7340909090909091,0.5735294117647058,0.5,0.3333333333333333,0.5,0.5,0.4444444444444445,0.0,0
0.2857142857142856,0.5,0.21686746987951805,0.3472222222222222,0.4444444444444444,0.0,0.34318181818181803,0.6323529411764706,0.0,0.16666666666666666,0.5,0.0,0.1111111111111111,0.0,0
0.7142857142857144,0.0,0.45783132530120474,0.3194444444444444,0.537037037037037,0.0,0.6136363636363638,0.4705882352941177,0.5,0.5,1.0,0.5,0.0,0.0,1
0.5714285714285716,0.5,0.6746987951807227,0.2916666666666667,0.4444444444444444,0.0,0.9000000000000001,0.588235294117647,0.0,0.16666666666666666,0.5,0.5,0.2222222222222222,0.0,2
